Time,GeoType,GeoID,GeoRank,Geography,Number,Percent
2009-13,UHF42,504,4,South Beach - Tottenville,11993,6.28
2009-13,Borough,1,1,Bronx,405465,29.8
2009-13,Borough,2,1,Brooklyn,583378,23.15
2009-13,Borough,3,1,Manhattan,276148,17.71
2009-13,Borough,4,1,Queens,333910,14.96
2009-13,Borough,5,1,Staten Island,54956,11.85
2009-13,Citywide,1,0,New York City,1653857,20.33
2008-12,UHF42,101,4,Kingsbridge - Riverdale,12965,15.1
2008-12,UHF42,102,4,Northeast Bronx,30278,15.44
2008-12,UHF42,103,4,Fordham - Bronx Pk,74772,31.29
2008-12,UHF42,104,4,Pelham - Throgs Neck,64919,21.8
2008-12,UHF42,105,4,Crotona -Tremont,79222,39.35
2008-12,UHF42,106,4,High Bridge - Morrisania,78925,38.3
2008-12,UHF42,107,4,Hunts Point - Mott Haven,57455,43.09
2008-12,UHF42,201,4,Greenpoint,35354,28.54
2008-12,UHF42,202,4,Downtown - Heights - Slope,36997,16.32
2008-12,UHF42,203,4,Bedford Stuyvesant - Crown Heights,84851,27.07
2008-12,UHF42,204,4,East New York,60560,32.76
2008-12,UHF42,205,4,Sunset Park,35878,28.42
2008-12,UHF42,206,4,Borough Park,83813,25.17
2008-12,UHF42,207,4,East Flatbush - Flatbush,54815,18.14
2008-12,UHF42,208,4,Canarsie - Flatlands,26463,12.94
2008-12,UHF42,209,4,Bensonhurst - Bay Ridge,28971,14.75
2008-12,UHF42,210,4,Coney Island - Sheepshead Bay,49068,18.23
2008-12,UHF42,211,4,Williamsburg - Bushwick,68994,32.48
2008-12,UHF42,301,4,Washington Heights,66842,25.76
2008-12,UHF42,302,4,Central Harlem - Morningside Heights,45079,27.75
2008-12,UHF42,303,4,East Harlem,35223,31.75
2008-12,UHF42,304,4,Upper West Side,25590,11.96
2008-12,UHF42,305,4,Upper East Side,14686,6.81
2008-12,UHF42,306,4,Chelsea - Clinton,16216,11.72
2008-12,UHF42,307,4,Gramercy Park - Murray Hill,10743,8.66
2008-12,UHF42,308,4,Greenwich Village - SoHo,8147,10.5
2008-12,UHF42,309,4,Union Square - Lower East Side,40669,21.36
2008-12,UHF42,310,4,Lower Manhattan,6003,12.44
2008-12,UHF42,401,4,Long Island City - Astoria,31642,15.99
2008-12,UHF42,402,4,West Queens,81483,18.16
2008-12,UHF42,403,4,Flushing - Clearview,33814,13.01
2008-12,UHF42,404,4,Bayside - Little Neck,7064,7.91
2008-12,UHF42,405,4,Ridgewood - Forest Hills,30569,12.41
2008-12,UHF42,406,4,Fresh Meadows,13207,14.07
2008-12,UHF42,407,4,Southwest Queens,36473,13.15
2008-12,UHF42,408,4,Jamaica,43334,15.34
2008-12,UHF42,409,4,Southeast Queens,18014,6.79
2008-12,UHF42,410,4,Rockaways,23856,21.4
2008-12,UHF42,501,4,Port Richmond,14333,21.64
2008-12,UHF42,502,4,Stapleton - St. George,20069,17.04
2008-12,UHF42,503,4,Willowbrook,7144,8.24
2008-12,UHF42,504,4,South Beach - Tottenville,10691,5.61
2008-12,Borough,1,1,Bronx,395832,29.32
2008-12,Borough,2,1,Brooklyn,565764,22.7
2008-12,Borough,3,1,Manhattan,271996,17.54
2008-12,Borough,4,1,Queens,317531,14.36
2008-12,Borough,5,1,Staten Island,52237,11.33
2008-12,Citywide,1,0,New York City,1603360,19.88
2007-11,UHF42,101,4,Kingsbridge - Riverdale,12029,14.08
2007-11,UHF42,102,4,Northeast Bronx,28443,14.48
2007-11,UHF42,103,4,Fordham - Bronx Pk,74277,31.55
2007-11,UHF42,104,4,Pelham - Throgs Neck,62325,21.19
2007-11,UHF42,105,4,Crotona -Tremont,75599,37.6
2007-11,UHF42,106,4,High Bridge - Morrisania,76539,37.75
2007-11,UHF42,107,4,Hunts Point - Mott Haven,54241,41.24
2007-11,UHF42,201,4,Greenpoint,33973,27.47
2007-11,UHF42,202,4,Downtown - Heights - Slope,35810,15.96
2007-11,UHF42,203,4,Bedford Stuyvesant - Crown Heights,84490,27.27
2007-11,UHF42,204,4,East New York,57570,31.66
2007-11,UHF42,205,4,Sunset Park,33324,26.77
2007-11,UHF42,206,4,Borough Park,80730,24.21
2007-11,UHF42,207,4,East Flatbush - Flatbush,53507,17.75
2007-11,UHF42,208,4,Canarsie - Flatlands,24852,12.34
2007-11,UHF42,209,4,Bensonhurst - Bay Ridge,26529,13.83
2007-11,UHF42,210,4,Coney Island - Sheepshead Bay,47004,17.75
2007-11,UHF42,211,4,Williamsburg - Bushwick,68174,32.8
2007-11,UHF42,301,4,Washington Heights,67581,25.95
2007-11,UHF42,302,4,Central Harlem - Morningside Heights,45290,28.38
2007-11,UHF42,303,4,East Harlem,34617,31.14
2007-11,UHF42,304,4,Upper West Side,25500,11.95
2007-11,UHF42,305,4,Upper East Side,13429,6.27
2007-11,UHF42,306,4,Chelsea - Clinton,17149,12.46
2007-11,UHF42,307,4,Gramercy Park - Murray Hill,10508,8.47
2007-11,UHF42,308,4,Greenwich Village - SoHo,8702,11.17
2007-11,UHF42,309,4,Union Square - Lower East Side,40976,21.53
2007-11,UHF42,310,4,Lower Manhattan,5893,12.8
2007-11,UHF42,401,4,Long Island City - Astoria,31343,15.97
2007-11,UHF42,402,4,West Queens,76614,17.09
2007-11,UHF42,403,4,Flushing - Clearview,31899,12.54
2007-11,UHF42,404,4,Bayside - Little Neck,6526,7.4
2007-11,UHF42,405,4,Ridgewood - Forest Hills,28770,11.75
2007-11,UHF42,406,4,Fresh Meadows,12145,12.96
2007-11,UHF42,407,4,Southwest Queens,33975,12.48
2007-11,UHF42,408,4,Jamaica,42016,15.04
2007-11,UHF42,409,4,Southeast Queens,15640,5.88
2007-11,UHF42,410,4,Rockaways,22559,20.65
2007-11,UHF42,501,4,Port Richmond,12982,19.2
2007-11,UHF42,502,4,Stapleton - St. George,20177,17.41
2007-11,UHF42,503,4,Willowbrook,6981,8.08
2007-11,UHF42,504,4,South Beach - Tottenville,10486,5.56
2007-11,Borough,1,1,Bronx,381179,28.48
2007-11,Borough,2,1,Brooklyn,545963,22.15
2007-11,Borough,3,1,Manhattan,272041,17.63
2007-11,Borough,4,1,Queens,299650,13.67
2007-11,Borough,5,1,Staten Island,50626,11.05
2007-11,Citywide,1,0,New York City,1549459,19.38
